"81 ";57741;3439;59026;3377;58640;3360;59276;3344;60328;3370;60562;3340;61436;3332;62019;3398;62399;3324;63955;3363;64469;3226;65083;3117
"82 ";54302;3539;55649;3738;55279;3745;55931;3632;56957;3590;57222;3431;58104;3493;58621;3661;59075;3552;60592;3334;61243;3527;61966;3416
"83 ";50763;3712;51911;3892;51534;3874;52299;3792;53367;3921;53791;3854;54611;3648;54960;4013;55523;3467;57258;3753;57716;3753;58550;3719
"84 ";47051;3781;48018;4040;47661;3821;48508;4069;49447;3876;49937;3896;50963;4057;50946;3867;52056;4003;53505;3918;53962;3747;54831;3783
"85 ";43270;4261;43978;4232;43840;4323;44439;3933;45570;4307;46041;4078;46906;4038;47080;3997;48053;4146;49587;4095;50215;4179;51048;3925
"86 ";39009;4038;39746;4092;39517;4072;40506;4334;41263;4078;41963;3998;42868;4360;43082;4236;43907;4281;45492;4030;46036;4202;47123;4347
"87 ";34971;3976;35655;4045;35445;4251;36172;4143;37185;4274;37964;4167;38507;4250;38846;4213;39626;4224;41462;4278;41834;4239;42776;4432
"88 ";30995;4181;31610;4195;31195;3913;32029;4183;32911;4107;33797;4198;34257;4081;34633;4292;35402;4067;37185;4270;37595;4372;38344;4484
"89 ";26814;3988;27415;3866;27282;4053;27846;3673;28804;4148;29599;4055;30177;4173;30341;4114;31334;4301;32915;4220;33224;4420;33860;4292
"90 ";22826;3702;23549;3983;23229;3772;24173;3799;24656;3653;25544;4057;26003;3983;26227;4367;27033;3983;28695;4265;28803;4415;29569;4249
"91 ";19124;3492;19566;3485;19458;3493;20374;3787;21003;3644;21487;3649;22020;3890;21861;3650;23050;3862;24429;4253;24388;4119;25320;4117
"92 ";15632;3118;16081;3240;15965;3176;16587;3264;17359;3378;17838;3389;18131;3437;18211;3732;19188;3526;20176;3635;20269;3805;21203;3870
"93 ";12514;2540;12841;2756;12789;2766;13323;2762;13980;2967;14449;3133;14694;3053;14479;3015;15663;3225;16541;3359;16464;3475;17333;3611
"94 ";9973;2411;10085;2387;10023;2322;10561;2475;11014;2498;11316;2550;11641;2651;11464;2698;12438;2701;13182;2955;12989;2821;13722;3023
"95 ";7562;1948;7697;1951;7701;2072;8086;2055;8516;2217;8767;2184;8990;2280;8766;2301;9737;2520;10228;2473;10168;2508;10699;2640
"96 ";5615;1556;5746;1647;5629;1576;6031;1701;6299;1678;6583;1890;6710;1910;6464;1871;7217;1969;7755;1937;7660;2073;8058;2277
"97 ";4058;1145;4099;1287;4053;1238;4331;1214;4621;1418;4693;1379;4800;1377;4594;1432;5248;1587;5818;1705;5587;1679;5781;1654
"98 ";2913;951;2812;961;2816;977;3117;1071;3203;953;3314;1046;3423;978;3161;1071;3661;1141;4113;1330;3908;1243;4128;1293
"99 ";1962;704;1851;572;1839;596;2046;675;2250;788;2267;752;2445;729;2091;711;2520;818;2783;867;2665;867;2834;979
"100 ";1258;435;1279;411;1242;506;1371;522;1461;532;1516;621;1716;658;1380;495;1702;599;1916;726;1798;619;1855;653
"101 ";823;300;868;326;736;299;849;369;929;358;895;359;1059;375;885;344;1103;418;1190;426;1179;412;1202;473
"102 ";522;198;542;199;437;165;481;168;571;238;536;209;684;274;541;234;685;292;765;306;767;297;729;338
"103 ";324;146;343;157;273;114;313;111;333;166;327;116;409;146;307;155;393;106;458;213;470;168;391;172
"104 ";178;76;187;63;158;48;202;97;167;59;211;69;264;147;152;55;286;135;246;108;302;144;218;90
"105 ";102;35;124;63;111;36;106;48;108;42;142;60;117;37;97;28;151;85;138;22;158;55;129;51
"106 ";67;67;61;61;75;75;58;58;65;65;81;81;80;80;69;35;66;66;116;116;103;103;78;78

